Seat ID (do not edit),Desk Port,Agent Name,Hostname,Switch Port,Switch Serial,Movement Comment
765,,,,,,
766,,,,,,
767,,,,,,
768,,,,,,
769,,,,,,
770,,,,,,
771,,,,,,
773,,,,,,
774,,,,,,
775,PP0-02,ven987knc95,,ge0/0/4,ASW20,
776,,,,,,
777,,,,,,
778,,,,,,
779,PP0-03,,,ge0/0/18,ASW15,
780,,,,,,
