timestamp_utc,everest_id,client,role,mac,floor,baseline_desk,baseline_switch,baseline_interface,baseline_vlan,baseline_ipv4,status,current_switch,current_interface,current_vlan
2026-09-22T19:46:12.332626+00:00,sf752038,Reprise,Agent,d0:46:0c:97:6b:dd,34th,P1-01,NY4823305571(ASW01),ge-0/0/0,121,10.58.121.70,SWITCH_MOVED,FSMEXICOASW08,ge-0/0/24,121
2026-09-22T19:46:12.332626+00:00,ac753328,Reprise,Agent,d0:46:0c:92:61:5e,34th,P1-02,NY4823305571(ASW01),ge-0/0/2,121,10.58.121.12,SWITCH_MOVED,FSMEXICOASW08,ge-0/0/25,121
2026-09-22T19:46:12.332626+00:00,jz750669,Reprise,Agent,d0:46:0c:92:63:50,34th,P1-29,NY4823305571(ASW01),ge-0/0/9,121,10.58.121.30,NOT_FOUND,,,
2026-09-22T19:46:12.332626+00:00,is754680,OMF,Agent,e0:70:ea:ab:f8:01,34th,P1-06,FSMEXICOASW01,ge-0/0/10,121,10.58.121.36,SAME,FSMEXICOASW01,ge-0/0/10,121
2026-09-22T19:46:12.332626+00:00,or753361,Reprise,Agent,d0:46:0c:92:64:49,34th,P1-30,NY4823305571(ASW01),ge-0/0/11,121,10.58.121.44,NOT_FOUND,,,
