Floor,Switch,Switch Port number,Desk Details,Client,Everest Id,Agent/Support/Empty,Port Status,WS Status,MAC Address,VLAN,IPv4 Address
34th,NY4823305571(ASW01),ge-0/0/0,P1-01,Reprise,sf752038,Agent,Active,Occupied,d0:46:0c:97:6b:dd,121,10.58.121.70
34th,NY4823305571(ASW01),ge-0/0/1,P1-25,Reprise,,No Agent,Active,Empty,,,
34th,NY4823305571(ASW01),ge-0/0/2,P1-02,Reprise,ac753328,Agent,Active,Occupied,d0:46:0c:92:61:5e,121,10.58.121.12
34th,NY4823305571(ASW01),ge-0/0/5,P1-27,Reprise,,No Agent,Active,Empty,d0:46:0c:88:db:ce,,
34th,NY4823305571(ASW01),ge-0/0/9,P1-29,Reprise,jz750669,Agent,Active,Occupied,d0:46:0c:92:63:50,121,10.58.121.30
34th,FSMEXICOASW01,ge-0/0/10,P1-06,OMF,is754680,Agent,Active,Occupied,e0:70:ea:ab:f8:01,121,10.58.121.36
34th,FSMEXICOASW01,ge-0/0/10,P1-06,OMF,is754680,Agent,Active,Occupied,e0:70:ea:ab:f8:01,121,10.58.121.36
34th,NY4823305571(ASW01),ge-0/0/11,P1-30,Reprise,or753361,Agent,Active,Occupied,d0:46:0c:92:64:49,121,10.58.121.44
33th,NY4824470090(ASW20),ge-0/0/4,PP3-08,Reprise,ven987knc95,Agent,Active,Occupied,4c:56:df:42:eb:49,132,10.58.132.11
